Date,Name,P&L,Status,Direction,Trade Type
2025-01-02,AVALON,-49.2,LOSS,LONG,1ST_ENTRY
2025-01-03,AVANTIFEED,-51.15,LOSS,LONG,1ST_ENTRY
2025-01-06,AVALON,0,FLAT,LONG,1ST_ENTRY
2025-01-07,AVANTIFEED,0,FLAT,LONG,1ST_ENTRY
2025-01-07,AVALON,112.9,PROFIT,LONG,1ST_ENTRY
2025-01-09,AVANTIFEED,0.77,PROFIT,LONG,1ST_ENTRY
2025-01-09,AVALON,-52.14,LOSS,LONG,1ST_ENTRY
2025-01-10,AVALON,-51.15,LOSS,LONG,1ST_ENTRY
2025-01-13,AVANTIFEED,-51,LOSS,LONG,1ST_ENTRY
2025-01-13,AVALON,-49.61,LOSS,LONG,1ST_ENTRY
2025-01-14,AVANTIFEED,301.37,PROFIT,LONG,1ST_ENTRY
2025-01-14,AVALON,-51.96,LOSS,LONG,1ST_ENTRY
2025-01-15,AVANTIFEED,-49.92,LOSS,LONG,1ST_ENTRY 